artist,album,year,placement,genre,region,theme_label,description,critical_context,text,label
Jeremy Dutcher,Motewolonuwok,2024,winner,Indigenous/Classical,New Brunswick,Identity & Heritage,Indigenous classical/electronic music exploring Wolastoqey culture and language preservation,Combines traditional songs with contemporary arrangements,Album: Motewolonuwok | Artist: Jeremy Dutcher | Genre: Indigenous/Classical | Description: Indigenous classical/electronic music exploring Wolastoqey culture and language preservation | Context: Combines traditional songs with contemporary arrangements,1
Elisapie,Inuktitut,2024,longlist,Indigenous Folk,Quebec,Identity & Heritage,Indigenous folk music sung in Inuktitut language,Celebrates Inuit culture and language,Album: Inuktitut | Artist: Elisapie | Genre: Indigenous Folk | Description: Indigenous folk music sung in Inuktitut language | Context: Celebrates Inuit culture and language,1
Shane Ghostkeeper,Songs for My People,2024,longlist,Indigenous Folk,Alberta,Identity & Heritage,Indigenous folk exploring cultural identity,Personal journey through Indigenous heritage,Album: Songs for My People | Artist: Shane Ghostkeeper | Genre: Indigenous Folk | Description: Indigenous folk exploring cultural identity | Context: Personal journey through Indigenous heritage,1
Dominique Fils-Aimé,Our Roots Run Deep,2024,longlist,Soul/Jazz,Quebec,Identity & Heritage,Soul/jazz exploring African-Canadian heritage,Explores Black Canadian identity and roots,Album: Our Roots Run Deep | Artist: Dominique Fils-Aimé | Genre: Soul/Jazz | Description: Soul/jazz exploring African-Canadian heritage | Context: Explores Black Canadian identity and roots,1
DijahSB,The Flower That Knew,2024,longlist,Hip-Hop,Ontario,Social Commentary,Hip-hop with social consciousness and personal reflection,Addresses social issues and personal growth,Album: The Flower That Knew | Artist: DijahSB | Genre: Hip-Hop | Description: Hip-hop with social consciousness and personal reflection | Context: Addresses social issues and personal growth,5
NOBRO,Set Your Pussy Free,2024,longlist,Punk Rock,Quebec,Social Commentary,Punk rock with feminist themes,Feminist punk with empowering messages,Album: Set Your Pussy Free | Artist: NOBRO | Genre: Punk Rock | Description: Punk rock with feminist themes | Context: Feminist punk with empowering messages,5
The Beaches,Blame My Ex,2024,longlist,Rock,Ontario,Love & Relationships,Rock album about relationships and heartbreak,Explores romantic relationships and breakups,Album: Blame My Ex | Artist: The Beaches | Genre: Rock | Description: Rock album about relationships and heartbreak | Context: Explores romantic relationships and breakups,3
Charlotte Cardin,99 Nights,2024,longlist,Pop/R&B,Quebec,Love & Relationships,Pop/R&B album exploring love and relationships,Intimate exploration of love and desire,Album: 99 Nights | Artist: Charlotte Cardin | Genre: Pop/R&B | Description: Pop/R&B album exploring love and relationships | Context: Intimate exploration of love and desire,3
Allison Russell,The Returner,2024,longlist,Folk/Soul,Quebec,Love & Relationships,Folk/soul exploring healing and resilience,Personal journey of healing and family,Album: The Returner | Artist: Allison Russell | Genre: Folk/Soul | Description: Folk/soul exploring healing and resilience | Context: Personal journey of healing and family,3
TOBi,Panic,2024,longlist,Hip-Hop/R&B,Ontario,Introspection & Philosophy,Hip-hop/R&B exploring anxiety and mental health,Honest examination of mental health struggles,Album: Panic | Artist: TOBi | Genre: Hip-Hop/R&B | Description: Hip-hop/R&B exploring anxiety and mental health | Context: Honest examination of mental health struggles,2
