artist,album,year,placement,genre,region,theme_label,description,critical_context
Jeremy Dutcher,Motewolonuwok,2024,winner,Indigenous/Classical,New Brunswick,Identity & Heritage,Indigenous classical/electronic music exploring Wolastoqey culture and language preservation,Combines traditional songs with contemporary arrangements
Elisapie,Inuktitut,2024,longlist,Indigenous Folk,Quebec,Identity & Heritage,Indigenous folk music sung in Inuktitut language,Celebrates Inuit culture and language
Shane Ghostkeeper,Songs for My People,2024,longlist,Indigenous Folk,Alberta,Identity & Heritage,Indigenous folk exploring cultural identity,Personal journey through Indigenous heritage
Dominique Fils-Aimé,Our Roots Run Deep,2024,longlist,Soul/Jazz,Quebec,Identity & Heritage,Soul/jazz exploring African-Canadian heritage,Explores Black Canadian identity and roots
DijahSB,The Flower That Knew,2024,longlist,Hip-Hop,Ontario,Social Commentary,Hip-hop with social consciousness and personal reflection,Addresses social issues and personal growth
NOBRO,Set Your Pussy Free,2024,longlist,Punk Rock,Quebec,Social Commentary,Punk rock with feminist themes,Feminist punk with empowering messages
The Beaches,Blame My Ex,2024,longlist,Rock,Ontario,Love & Relationships,Rock album about relationships and heartbreak,Explores romantic relationships and breakups
Charlotte Cardin,99 Nights,2024,longlist,Pop/R&B,Quebec,Love & Relationships,Pop/R&B album exploring love and relationships,Intimate exploration of love and desire
Allison Russell,The Returner,2024,longlist,Folk/Soul,Quebec,Love & Relationships,Folk/soul exploring healing and resilience,Personal journey of healing and family
TOBi,Panic,2024,longlist,Hip-Hop/R&B,Ontario,Introspection & Philosophy,Hip-hop/R&B exploring anxiety and mental health,Honest examination of mental health struggles
Haley Blais,Wisecrack,2024,longlist,Indie Folk,British Columbia,Introspection & Philosophy,Indie folk with introspective lyrics,Self-reflective songwriting with vulnerability
Helena Deland,Goodnight Summerland,2024,longlist,Indie Pop,Quebec,Introspection & Philosophy,Dreamy indie pop with introspective themes,Contemplative lyrics over ethereal soundscapes
Terra Lightfoot,Healing Power,2024,longlist,Rock/Blues,Ontario,Introspection & Philosophy,Rock/blues about resilience and healing,Songs about overcoming adversity and healing
Beverly Glenn-Copeland,The Ones Ahead,2024,longlist,Electronic,New Brunswick,Introspection & Philosophy,Spiritual and philosophical electronic music,Spiritual themes and life philosophy
Corridor,Mimi,2024,longlist,Indie Rock,Quebec,Place & Landscape,Quebec indie rock with French lyrics,Distinctly Quebec indie rock sound
Population II,Électrons libres du québec,2024,longlist,Psychedelic Rock,Quebec,Place & Landscape,Psychedelic rock from Quebec,Quebec psychedelic scene representation
BIG|BRAVE,A Chaos of Flowers,2024,longlist,Experimental,Quebec,Experimental & Abstract,Experimental metal/drone music,Avant-garde approach to heavy music
Cindy Lee,Diamond Jubilee,2024,longlist,Experimental Pop,Ontario,Experimental & Abstract,Lo-fi experimental pop,Boundary-pushing approach to pop music
TEKE::TEKE,Hagata,2024,longlist,Experimental Rock,Quebec,Experimental & Abstract,Japanese-influenced experimental rock,Fusion of Japanese and Western musical elements
Allie X,Girl With No Face,2024,longlist,Pop,Ontario,Introspection & Philosophy,Pop album exploring themes of identity and self-perception,Dark pop examining self-image and identity
BAMBII,INFINITY CLUB,2024,longlist,Electronic,Ontario,Experimental & Abstract,Electronic dance music project,Innovative electronic dance production
